OTU_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Label
BOTU_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,unidentified,BOTU_1_Mitochondria
BOTU_10,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unidentified,BOTU_10_Lactobacillus
BOTU_5,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella_multocida,BOTU_5_Pasteurella_multocida
BOTU_20,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Buchnera,unidentified,BOTU_20_Buchnera
BOTU_15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,unidentified,BOTU_15_Methylobacterium-Methylorubrum
BOTU_7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Methylobacterium_haplocladii,BOTU_7_Methylobacterium_haplocladii
BOTU_18,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,BOTU_18_Sphingomonas
BOTU_4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured_bacterium,BOTU_4_uncultured_bacterium
BOTU_16,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,BOTU_16_Pseudomonas
BOTU_9,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,unidentified,BOTU_9_Staphylococcus
BOTU_2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured_bacterium,BOTU_2_uncultured_bacterium
BOTU_19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,Aurantimonas_sp.,BOTU_19_Aurantimonas_sp.
BOTU_11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,uncultured_bacterium,BOTU_11_uncultured_bacterium
BOTU_17,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unidentified,unidentified,BOTU_17_Enterobacteriaceae
BOTU_6,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,unidentified,unidentified,BOTU_6_Sphingomonadaceae
BOTU_3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,BOTU_3_Pseudomonas
BOTU_8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unidentified,BOTU_8_Bacillus
BOTU_12,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,unidentified,BOTU_12_Escherichia-Shigella
BOTU_13,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,Listeria_monocytogenes,BOTU_13_Listeria_monocytogenes
BOTU_14,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unidentified,BOTU_14_Enterococcus
BOTU_21,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Roseomonas_sp.,BOTU_21_Roseomonas_sp.
BOTU_25,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Blattabacteriaceae,Candidatus_Uzinura,unidentified,BOTU_25_Candidatus_Uzinura
BOTU_29,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_29_unidentified
BOTU_24,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unidentified,BOTU_24_Chloroplast
BOTU_37,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_37_unidentified
BOTU_35,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_wenyonii,BOTU_35_Mycoplasma_wenyonii
BOTU_31,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,Candidatus_Rickettsiella,BOTU_31_Candidatus_Rickettsiella
BOTU_23,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,unidentified,BOTU_23_Acinetobacter
BOTU_36,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,uncultured_bacterium,BOTU_36_uncultured_bacterium
BOTU_22,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_phyllosphaerae,BOTU_22_Sphingomonas_phyllosphaerae
BOTU_26,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,unidentified,BOTU_26_Burkholderia-Caballeronia-Paraburkholderia
BOTU_33,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Methylobacterium_komagatae,BOTU_33_Methylobacterium_komagatae
BOTU_34,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_bacterium,BOTU_34_uncultured_bacterium
BOTU_27,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_sp.,BOTU_27_Pseudomonas_sp.
BOTU_30,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_sp.,BOTU_30_Sphingomonas_sp.
BOTU_28,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,Kurthia_sp.,BOTU_28_Kurthia_sp.
BOTU_41,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Methylobacterium_sp.,BOTU_41_Methylobacterium_sp.
BOTU_42,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,uncultured_bacterium,BOTU_42_uncultured_bacterium
BOTU_32,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,BOTU_32_Pseudomonas
BOTU_44,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,uncultured,uncultured_bacterium,BOTU_44_uncultured_bacterium
BOTU_38,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,unidentified,unidentified,BOTU_38_Sphingomonadaceae
BOTU_39,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,unidentified,BOTU_39_Delftia
BOTU_43,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas_sp.,BOTU_43_Xanthomonas_sp.
BOTU_40,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Macrococcus,Macrococcus_caseolyticus,BOTU_40_Macrococcus_caseolyticus
BOTU_45,Bacteria,Proteobacteria,Alphaproteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_45_Alphaproteobacteria
BOTU_56,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_56_unidentified
BOTU_46,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Vulcaniibacterium,uncultured_bacterium,BOTU_46_uncultured_bacterium
BOTU_50,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,unidentified,BOTU_50_Methylobacterium-Methylorubrum
BOTU_51,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc_mesenteroides,BOTU_51_Leuconostoc_mesenteroides
BOTU_47,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,unidentified,BOTU_47_Sphingobium
BOTU_48,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_psychrotolerans,BOTU_48_Pseudomonas_psychrotolerans
BOTU_49,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,unidentified,BOTU_49_Halomonas
BOTU_55,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,unidentified,BOTU_55_Cloacibacterium
BOTU_52,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unidentified,BOTU_52_Bradyrhizobium
BOTU_54,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,unidentified,BOTU_54_Corynebacterium
BOTU_60,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,unidentified,BOTU_60_Roseomonas
BOTU_62,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,unidentified,unidentified,BOTU_62_Moraxellaceae
BOTU_53,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unidentified,BOTU_53_Bacillus
BOTU_57,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,unidentified,BOTU_57_Vibrio
BOTU_58,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,unidentified,BOTU_58_Massilia
